CustomerID,Age,TenureMonths,MonthlyCharges,TotalSpend,SupportCalls,AvgWatchHours,DaysSinceLastLogin,PaymentDelayDays,NumberOfDevices,ContractType,InternetPlan,HasFamilyPlan,AutoPayment,SatisfactionScore,Churn,InternalReference
50543,49,29,1346.93,42204.42,4,16.46,9.7,1.84,4,OneYear,Standard,Yes,Yes,8.0,0,924710
50260,33,52,2092.03,125739.74,2,14.31,3.09,0.58,1,OneYear,Standard,Yes,Yes,2.0,0,882476
50044,24,31,3202.39,84607.4,2,13.18,4.87,0.06,1,Monthly,Standard,No,No,3.0,0,507107
51011,39,13,2664.59,24827.02,8,20.08,2.42,1.41,3,Monthly,Basic,No,No,6.0,0,383579
50755,32,36,2444.87,90173.41,1,11.64,17.66,1.59,2,Monthly,Standard,Yes,Yes,3.0,0,554039
50311,50,30,1738.16,48607.45,1,8.32,16.35,1.12,2,Monthly,Basic,Yes,Yes,4.0,0,327593
50756,48,27,,,4,21.45,12.33,4.12,5,Monthly,Standard,No,Yes,10.0,0,423359
50468,62,31,2340.01,75675.43,4,19.28,7.52,5.79,2,OneYear,Standard,Yes,Yes,6.0,0,899308
50211,32,29,1050.58,22134.64,2,4.43,7.58,2.88,3,Monthly,Premium,Yes,Yes,7.0,0,793318
50156,30,43,1987.43,253254.72000000003,6,8.02,5.16,0.7,4,OneYear,Premium,No,Yes,5.0,0,406456
51109,23,49,2113.5,94312.81,4,7.15,38.62,0.23,3,OneYear,Basic,No,Yes,5.0,0,138056
50712,44,18,,31027.32,2,10.58,2.34,0.1,5,Monthly,Basic,No,No,1.0,0,281423
50410,19,56,1022.84,64836.24,6,10.19,3.23,1.9,5,Monthly,Basic,Yes,No,2.0,0,896613
50495,49,21,1211.8,13268.65,5,12.83,8.22,2.25,4,OneYear,Basic,Yes,No,9.0,0,422754
50701,34,59,2831.84,154741.36,4,13.57,2.65,0.73,3,TwoYear,Standard,No,No,,0,176407
50524,33,24,1485.3,43827.41,3,13.58,2.07,0.73,5,Monthly,Basic,No,Yes,6.0,0,806663
50810,64,15,1687.06,11160.09,3,4.98,12.37,5.05,3,OneYear,Standard,No,Yes,1.0,0,441774
50553,45,2,1547.67,-12402.97,3,10.07,6.02,1.98,4,Monthly,Basic,Yes,Yes,7.0,0,217221
50754,31,42,2871.93,109736.82,4,9.48,21.32,4.99,3,TwoYear,Basic,No,Yes,5.0,0,134184
50424,43,34,1274.37,50054.22,5,10.08,6.08,9.56,5,Monthly,Premium,No,No,10.0,0,371860
50381,52,2,1733.94,-7925.21,2,10.12,0.27,4.5,2,OneYear,Premium,Yes,No,7.0,0,975122
50962,43,17,2191.61,27683.68,1,16.73,0.84,0.98,2,Monthly,Premium,No,Yes,8.0,0,116696
51151,54,33,1973.26,80011.29,3,16.05,6.09,0.13,5,Monthly,Standard,Yes,No,6.0,0,241105
