,Impute_Mode__SatisfactionScore,Impute_Median__DaysSinceLastLogin,Impute_Median__TotalSpend,Ordinal__InternetPlan,OneHot__HasFamilyPlan_Yes,OneHot__AutoPayment_Yes,OneHot__ContractType_OneYear,OneHot__ContractType_TwoYear,remainder__TenureMonths,remainder__SupportCalls,remainder__AvgWatchHours,remainder__PaymentDelayDays,remainder__NumberOfDevices,Churn
0,8.0,9.7,42204.42,1.0,1.0,1.0,1.0,0.0,29.0,4.0,16.46,1.84,4.0,0
1,2.0,3.09,125739.74,1.0,1.0,1.0,1.0,0.0,52.0,2.0,14.31,0.58,1.0,0
2,3.0,4.87,84607.4,1.0,0.0,0.0,0.0,0.0,31.0,2.0,13.18,0.06,1.0,0
3,6.0,2.42,24827.02,0.0,0.0,0.0,0.0,0.0,13.0,8.0,20.08,1.41,3.0,0
4,3.0,17.66,90173.41,1.0,1.0,1.0,0.0,0.0,36.0,1.0,11.64,1.59,2.0,0
5,4.0,16.35,48607.45,0.0,1.0,1.0,0.0,0.0,30.0,1.0,8.32,1.12,2.0,0
6,10.0,12.33,50054.22,1.0,0.0,1.0,0.0,0.0,27.0,4.0,21.45,4.12,5.0,0
7,6.0,7.52,75675.43,1.0,1.0,1.0,1.0,0.0,31.0,4.0,19.28,5.79,2.0,0
8,7.0,7.58,22134.64,2.0,1.0,1.0,0.0,0.0,29.0,2.0,4.43,2.88,3.0,0
9,5.0,5.16,253254.72000000003,2.0,0.0,1.0,1.0,0.0,43.0,6.0,8.02,0.7,4.0,0
10,5.0,38.62,94312.81,0.0,0.0,1.0,1.0,0.0,49.0,4.0,7.15,0.23,3.0,0
11,1.0,2.34,31027.32,0.0,0.0,0.0,0.0,0.0,18.0,2.0,10.58,0.1,5.0,0
12,2.0,3.23,64836.24,0.0,1.0,0.0,0.0,0.0,56.0,6.0,10.19,1.9,5.0,0
13,9.0,8.22,13268.65,0.0,1.0,0.0,1.0,0.0,21.0,5.0,12.83,2.25,4.0,0
14,7.0,2.65,154741.36,1.0,0.0,0.0,0.0,1.0,59.0,4.0,13.57,0.73,3.0,0
15,6.0,2.07,43827.41,0.0,0.0,1.0,0.0,0.0,24.0,3.0,13.58,0.73,5.0,0
16,1.0,12.37,11160.09,1.0,0.0,1.0,1.0,0.0,15.0,3.0,4.98,5.05,3.0,0
17,7.0,6.02,-12402.97,0.0,1.0,1.0,0.0,0.0,2.0,3.0,10.07,1.98,4.0,0
18,5.0,21.32,109736.82,0.0,0.0,1.0,0.0,1.0,42.0,4.0,9.48,4.99,3.0,0
19,10.0,6.08,50054.22,2.0,0.0,0.0,0.0,0.0,34.0,5.0,10.08,9.56,5.0,0
20,7.0,0.27,-7925.21,2.0,1.0,0.0,1.0,0.0,2.0,2.0,10.12,4.5,2.0,0
21,8.0,0.84,27683.68,2.0,0.0,1.0,0.0,0.0,17.0,1.0,16.73,0.98,2.0,0
22,6.0,6.09,80011.29,1.0,1.0,0.0,0.0,0.0,33.0,3.0,16.05,0.13,5.0,0
23,4.0,7.5,36593.58,0.0,1.0,0.0,0.0,0.0,38.0,2.0,17.95,4.43,4.0,0
24,7.0,16.88,22478.27,1.0,0.0,1.0,0.0,0.0,9.0,5.0,17.08,2.4,3.0,0
25,5.0,4.12,50054.22,1.0,1.0,0.0,0.0,0.0,59.0,3.0,13.34,2.08,5.0,0
26,3.0,2.77,5899.6,1.0,0.0,1.0,0.0,0.0,9.0,4.0,11.68,0.57,5.0,0
27,7.0,2.12,76158.71,0.0,0.0,0.0,1.0,0.0,46.0,1.0,19.43,1.39,3.0,0
28,8.0,20.62,120769.12,0.0,0.0,0.0,0.0,0.0,46.0,6.0,10.93,1.75,1.0,0
29,2.0,1.56,138876.35,1.0,0.0,1.0,1.0,0.0,51.0,6.0,16.52,1.88,4.0,0
30,7.0,5.65,76643.98,2.0,1.0,1.0,0.0,1.0,55.0,3.0,6.87,4.56,4.0,0
31,7.0,3.31,24098.78,1.0,1.0,1.0,0.0,0.0,23.0,3.0,13.51,0.51,3.0,0
32,1.0,3.4,1298.32,1.0,1.0,0.0,0.0,0.0,7.0,1.0,13.27,2.72,1.0,0
33,10.0,9.82,19979.74,1.0,0.0,1.0,1.0,0.0,9.0,4.0,10.65,4.72,3.0,0
34,8.0,4.28,46289.27,1.0,0.0,1.0,0.0,0.0,15.0,4.0,10.63,0.11,2.0,0
35,2.0,9.77,30920.65,1.0,1.0,0.0,1.0,0.0,48.0,1.0,17.11,1.11,5.0,0
36,3.0,12.48,50054.22,1.0,1.0,1.0,0.0,0.0,51.0,1.0,13.91,3.38,2.0,0
37,7.0,1.76,143847.02,1.0,1.0,1.0,0.0,1.0,60.0,3.0,19.33,0.05,3.0,0
38,7.0,0.39,32212.97,1.0,0.0,1.0,0.0,1.0,44.0,2.0,14.28,10.31,4.0,0
39,3.0,4.41,53816.67,0.0,0.0,0.0,1.0,0.0,30.0,2.0,11.83,4.0,3.0,0
40,2.0,1.56,138876.35,1.0,0.0,1.0,1.0,0.0,51.0,6.0,16.52,1.88,4.0,0
41,7.0,0.97,61550.95,0.0,0.0,1.0,0.0,0.0,26.0,2.0,21.51,0.0,3.0,0
42,3.0,1.54,58128.41,0.0,1.0,1.0,0.0,0.0,31.0,2.0,22.39,2.25,3.0,0
43,3.0,3.43,19615.86,1.0,1.0,1.0,0.0,1.0,40.0,4.0,14.06,1.1,2.0,0
44,7.0,4.63,96855.88,1.0,0.0,1.0,0.0,1.0,40.0,0.0,15.31,10.53,5.0,0
45,3.0,60.0,56223.84,1.0,0.0,1.0,0.0,0.0,55.0,0.0,12.01,0.87,3.0,0
46,7.0,3.78,80161.47,1.0,0.0,1.0,0.0,1.0,53.0,5.0,8.6,1.9,2.0,0
47,5.0,4.52,77813.59,2.0,0.0,0.0,0.0,0.0,29.0,3.0,8.79,0.19,4.0,0
48,5.0,0.08,33461.93,0.0,0.0,1.0,1.0,0.0,32.0,3.0,13.21,2.94,1.0,0
49,4.0,1.94,27084.39,2.0,0.0,0.0,1.0,0.0,13.0,4.0,13.89,1.04,1.0,0
50,9.0,14.4,62909.47,1.0,0.0,0.0,1.0,0.0,25.0,3.0,19.88,3.01,2.0,0
51,4.0,11.1,153250.26,1.0,1.0,1.0,1.0,0.0,47.0,5.0,9.89,1.19,4.0,0
