HouseID,Area,Bedrooms,Bathrooms,Floors,Age,Garage,Neighborhood,Condition,DistanceToCity,HasGarden,MonthlyHOAFee,SalePrice,InspectionCode
1001,3774.0,1,3,1,17.0,No,Riverside,Poor,16.65,No,5041.0,1354036,INSP1195
1002,4107.0,5,2,1,27.0,Yes,Riverside,Poor,3.25,Yes,5799.0,2595751,INSP1211
1003,1460.0,4,4,2,46.0,Yes,Suburb,Excellent,1.52,Yes,5619.0,2359875,INSP1015
1004,1894.0,1,1,3,46.0,Yes,Downtown,Good,3.97,No,841.0,1376117,INSP1201
1005,4325.0,5,4,2,3.0,No,Riverside,Good,12.9,No,632.0,5243088,INSP1217
1006,1695.0,5,1,3,6.0,No,Suburb,Poor,28.06,No,764.0,1985864,INSP1092
1007,4372.0,3,3,2,44.0,Yes,Riverside,Good,19.48,No,4688.0,2253394,INSP1132
1008,3692.0,5,1,2,34.0,Yes,Suburb,Excellent,24.25,Yes,2185.0,2454117,INSP1138
1009,2238.0,5,3,1,47.0,Yes,Suburb,Good,14.52,No,1934.0,2249251,INSP1156
1010,2769.0,5,4,3,8.0,No,Downtown,Fair,11.49,Yes,5827.0,3424421,INSP1069
1011,1066.0,5,3,2,7.0,,Downtown,Good,4.14,No,,3177663,INSP1014
1012,1838.0,2,4,2,44.0,Yes,Hillview,Good,26.4,Yes,2160.0,1657883,INSP1234
1013,930.0,2,2,1,16.0,Yes,Hillview,Good,23.71,No,,1035123,INSP1211
1014,2082.0,3,2,1,16.0,Yes,Riverside,Excellent,5.88,No,2854.0,2229879,INSP1289
1015,2735.0,1,2,3,,No,Downtown,Good,15.86,No,765.0,1483754,INSP1059
1016,4044.0,5,3,2,32.0,Yes,Suburb,Excellent,15.13,Yes,5241.0,2967861,INSP1251
1017,3771.0,1,2,3,31.0,No,Riverside,Good,19.13,Yes,1636.0,1629064,INSP1001
1018,3519.0,1,1,2,7.0,Yes,Riverside,Fair,28.44,No,5997.0,1492634,INSP1235
1019,4335.0,3,4,3,,Yes,Downtown,Fair,17.81,No,5049.0,3064927,INSP1018
1020,730.0,5,4,1,37.0,,Downtown,Fair,16.67,Yes,5806.0,2240697,INSP1048
1021,2285.0,5,1,2,2.0,No,Riverside,Excellent,2.46,No,5426.0,2837611,INSP1077
1022,3980.0,4,3,3,4.0,Yes,Suburb,Good,2.82,No,1890.0,3081041,INSP1027
1023,1369.0,1,3,1,12.0,Yes,Suburb,Good,6.43,Yes,1612.0,1772088,INSP1047
1024,2991.0,1,4,1,46.0,Yes,Downtown,Fair,1.94,No,2734.0,2023819,INSP1095
1025,2115.0,2,2,3,45.0,No,Suburb,Fair,22.56,Yes,3366.0,1333487,INSP1164
1026,4085.0,4,3,2,30.0,Yes,Hillview,Good,21.98,Yes,3568.0,2658618,INSP1175
1027,3453.0,2,3,2,15.0,No,Hillview,Good,4.95,Yes,2679.0,2259275,INSP1072
1028,3033.0,2,1,1,49.0,Yes,Suburb,Fair,25.25,No,5467.0,1105740,INSP1028
1029,1815.0,2,1,2,31.0,Yes,Suburb,Good,5.49,No,1134.0,1446056,INSP1156
1030,1555.0,3,2,2,21.0,Yes,Downtown,Poor,9.73,Yes,4131.0,2016777,INSP1278
1031,2924.0,3,3,2,28.0,Yes,Suburb,Fair,8.22,No,1899.0,2217942,INSP1282
1032,1784.0,2,3,1,21.0,Yes,Suburb,Good,11.8,No,5286.0,1791932,INSP1006
1033,1059.0,4,1,3,42.0,Yes,Riverside,Fair,8.39,No,3239.0,1674410,INSP1181
1034,3985.0,1,3,2,2.0,Yes,Suburb,Excellent,15.18,Yes,3670.0,2456323,INSP1108
1035,,4,4,1,9.0,No,Downtown,Fair,12.81,No,2365.0,2286365,INSP1205
1036,2900.0,5,1,1,41.0,Yes,Downtown,Fair,29.61,Yes,5653.0,1987760,INSP1233
1037,3367.5,3,2,3,20.0,No,Suburb,Fair,2.62,Yes,2455.0,3993458,INSP1186
1038,3504.0,1,1,2,15.0,Yes,Downtown,Good,5.12,Yes,5177.0,2132199,INSP1007
1039,4232.0,1,3,2,11.0,Yes,Downtown,Good,2.53,Yes,2718.0,3009116,INSP1052
1040,1074.0,5,2,3,1.0,Yes,Hillview,Good,19.15,No,1889.0,2110246,INSP1198
1041,1682.0,5,1,3,40.0,,Suburb,Poor,2.58,Yes,5379.0,1900543,INSP1136
1042,3158.0,2,4,1,23.0,Yes,Suburb,Poor,25.26,No,3630.0,1588435,INSP1258
1043,10882.5,3,4,1,34.0,Yes,Hillview,Good,15.85,Yes,4776.0,5096794,INSP1171
1044,2647.0,3,1,3,29.0,Yes,Hillview,Excellent,16.28,Yes,4614.0,2014180,INSP1085
1045,4147.0,4,4,2,29.0,Yes,Suburb,Excellent,17.29,No,1749.0,2925680,INSP1045
1046,3347.0,2,4,1,46.0,No,Hillview,Poor,5.95,No,3666.0,1142120,INSP1185
1047,1575.0,2,4,1,34.0,No,Suburb,Good,6.73,Yes,1745.0,1471008,INSP1155
1048,2406.0,2,2,2,18.0,Yes,Suburb,Excellent,10.25,Yes,553.0,2111705,INSP1008
1049,789.0,2,4,1,49.0,Yes,Suburb,Good,18.21,Yes,3410.0,1166254,INSP1114
1050,3605.0,3,4,2,7.0,Yes,Riverside,Excellent,7.09,Yes,2896.0,3138768,INSP1153
1051,3334.0,3,4,2,25.0,Yes,Riverside,Fair,4.37,No,942.0,2659707,INSP1129
1052,3605.0,2,2,2,48.0,Yes,Suburb,Excellent,29.13,No,5175.0,1368601,INSP1080
1053,1162.0,4,1,3,39.0,Yes,Downtown,Good,1.64,Yes,4111.0,2557363,INSP1289
1054,2499.0,1,3,3,6.0,Yes,Riverside,Excellent,24.28,No,4877.0,2257210,INSP1146
1055,4238.0,1,4,3,29.0,Yes,Downtown,Good,23.85,No,2907.0,2091377,INSP1294
1056,1867.0,4,1,2,6.0,Yes,Suburb,Good,9.62,Yes,,2129904,INSP1268
1057,3479.0,2,4,2,2.0,No,Riverside,Excellent,4.93,Yes,4202.0,2475403,INSP1132
1058,2128.0,3,2,3,0.0,No,Riverside,Fair,5.22,No,3439.0,2057351,INSP1049
1059,3802.0,1,1,1,35.0,Yes,Riverside,Fair,21.23,No,5236.0,1270868,INSP1022
1060,4156.0,5,2,2,24.0,,Hillview,Good,19.64,Yes,1531.0,2363395,INSP1087
1061,4490.0,5,4,1,36.0,No,Suburb,Good,23.7,Yes,2516.0,2709819,INSP1111
1062,1246.0,4,4,1,0.0,Yes,Riverside,Excellent,28.19,Yes,1062.0,2483079,INSP1110
1063,2668.0,2,2,2,14.0,Yes,Riverside,Fair,21.07,No,3038.0,1855886,INSP1071
1064,3488.0,1,3,2,36.0,Yes,Downtown,Good,5.52,Yes,840.0,2139773,INSP1153
1065,2814.0,2,2,1,12.0,No,Downtown,Good,8.06,Yes,5067.0,2103445,INSP1056
1066,1897.0,1,4,1,39.0,No,Suburb,Poor,25.42,No,4275.0,678228,INSP1256
1067,,4,2,3,7.0,Yes,Suburb,Good,7.07,No,2796.0,2475517,INSP1155
1068,1200.0,4,3,3,4.0,Yes,Riverside,Fair,3.1,No,734.0,2468537,INSP1112
1069,2963.0,5,2,2,8.0,Yes,Hillview,Fair,21.4,Yes,5702.0,2621509,INSP1046
1070,2661.0,2,3,3,0.0,Yes,Downtown,Excellent,12.67,Yes,1616.0,2978778,INSP1237
1071,841.0,5,3,3,35.0,Yes,Downtown,Good,27.68,Yes,2408.0,2683687,INSP1105
1072,2641.0,2,2,3,34.0,No,Hillview,Good,19.86,Yes,1917.0,1428178,INSP1186
1073,3424.0,5,2,3,1.0,Yes,Downtown,Excellent,3.62,No,5419.0,3651468,INSP1158
1074,4017.0,3,1,1,,No,Suburb,Good,28.49,Yes,1791.0,1148808,INSP1197
1075,,3,4,2,22.0,No,Suburb,Excellent,8.5,Yes,3988.0,2536104,INSP1176
1076,3545.0,3,3,3,8.0,No,Suburb,Good,10.78,Yes,5227.0,2516292,INSP1260
1077,1963.0,3,1,1,33.0,Yes,Downtown,Excellent,12.67,Yes,4154.0,2380256,INSP1286
1078,2739.0,1,2,1,45.0,,Downtown,Fair,2.49,No,1028.0,1608713,INSP1292
1079,1990.0,3,4,1,13.0,Yes,Downtown,Excellent,15.4,Yes,3824.0,3061609,INSP1142
1080,3603.0,4,1,3,3.0,,Suburb,Fair,4.58,Yes,2480.0,2763470,INSP1196
1081,2078.0,4,3,3,29.0,Yes,Suburb,Fair,12.63,Yes,3439.0,2219894,INSP1224
1082,4099.0,1,1,2,30.0,Yes,Downtown,Good,11.17,Yes,5935.0,1977838,INSP1042
1083,3156.0,3,3,3,37.0,Yes,Riverside,Good,23.41,Yes,5892.0,2318363,INSP1150
1084,1375.0,3,2,3,10.0,Yes,Hillview,Good,24.29,No,1829.0,1582276,INSP1295
1085,634.0,3,4,1,34.0,Yes,Downtown,Good,5.45,No,1733.0,2136711,INSP1062
1086,2853.0,5,4,2,7.0,Yes,Suburb,Good,11.63,No,2253.0,3044224,INSP1129
1087,3752.0,2,4,3,2.0,No,Riverside,Fair,11.83,No,3300.0,2694752,INSP1254
1088,2555.0,5,2,3,,No,Suburb,Poor,5.39,No,3433.0,1950938,INSP1213
1089,2185.0,2,3,1,12.0,Yes,Suburb,Fair,24.16,No,3259.0,1737772,INSP1072
1090,4059.0,3,2,1,44.0,Yes,Riverside,Good,21.51,Yes,3275.0,1869450,INSP1103
1091,3673.0,3,4,3,31.0,Yes,Hillview,Fair,6.52,Yes,3987.0,2305528,INSP1157
1092,1621.0,5,2,2,33.0,Yes,Hillview,Good,11.63,Yes,4350.0,2378321,INSP1271
1093,4061.0,5,2,2,44.0,Yes,Suburb,Good,4.07,No,3027.0,2711714,INSP1237
1094,8032.5,2,2,1,,No,Riverside,Poor,19.22,No,5497.0,3004434,INSP1157
1095,1729.0,4,3,1,37.0,Yes,Suburb,Good,4.52,No,1390.0,2209525,INSP1108
1096,4443.0,2,1,3,15.0,Yes,Riverside,Excellent,29.59,Yes,2565.0,2554866,INSP1008
1097,4493.0,5,1,1,1.0,Yes,Suburb,Fair,23.64,No,1688.0,2585948,INSP1058
1098,2100.0,5,2,3,39.0,Yes,Downtown,Good,12.32,Yes,4797.0,2731728,INSP1191
1099,1302.0,1,1,2,16.0,Yes,Riverside,Good,17.78,Yes,1240.0,1377098,INSP1135
1100,3049.0,5,1,2,33.0,Yes,Suburb,Good,27.43,Yes,1869.0,2327890,INSP1250
1101,3377.0,1,2,3,41.0,Yes,Suburb,Good,17.07,Yes,1889.0,1422903,INSP1145
1102,2179.0,4,2,1,15.0,,Hillview,Good,6.06,Yes,2500.0,2153536,INSP1057
1103,761.0,2,4,2,37.0,Yes,Downtown,Good,11.98,Yes,,2006935,INSP1176
1104,801.0,2,1,1,1.0,Yes,Suburb,Poor,25.45,Yes,2036.0,684742,INSP1287
1105,2581.0,1,3,2,1.0,Yes,Downtown,Good,19.68,No,818.0,2168091,INSP1244
1106,1595.0,2,2,3,25.0,No,Riverside,Good,19.87,No,2764.0,1146130,INSP1047
1107,2917.0,5,4,3,12.0,Yes,Riverside,Poor,26.14,No,5653.0,2766918,INSP1099
1108,1415.0,3,3,3,46.0,Yes,Suburb,Good,26.93,Yes,2394.0,1788543,INSP1212
1109,3942.0,1,1,2,30.0,,Riverside,Excellent,27.67,No,4211.0,1462978,INSP1164
1110,1055.0,2,4,1,33.0,Yes,Suburb,Good,3.75,No,5319.0,1959217,INSP1125
1111,4133.0,1,2,1,38.0,Yes,Riverside,Good,16.78,Yes,3322.0,1447164,INSP1120
1112,4398.0,1,3,1,2.0,Yes,Suburb,Excellent,22.47,Yes,5008.0,2439279,INSP1087
1113,1875.0,3,2,2,7.0,No,Suburb,Good,22.95,Yes,1775.0,1870520,INSP1216
1114,1616.0,5,1,2,22.0,Yes,Hillview,Good,18.59,Yes,3583.0,1790625,INSP1060
1115,4373.0,1,3,2,13.0,Yes,Suburb,Good,5.84,No,900.0,2590159,INSP1178
1116,2943.0,2,1,2,26.0,Yes,Downtown,Excellent,24.13,No,1223.0,1896228,INSP1189
1117,,4,1,2,28.0,No,Suburb,Good,21.88,Yes,2829.0,1925457,INSP1162
1118,3367.0,1,4,1,38.0,Yes,Hillview,Good,3.5,No,1635.0,1506496,INSP1080
1119,4420.0,1,2,2,38.0,Yes,Suburb,Good,14.45,No,3270.0,1549847,INSP1169
1120,937.0,3,3,2,0.0,Yes,Downtown,Excellent,6.05,No,5346.0,2718798,INSP1195
1121,,5,1,1,16.0,Yes,Suburb,Good,10.79,Yes,767.0,2227586,INSP1202
1122,1676.0,4,1,2,40.0,Yes,Suburb,Poor,1.52,No,5936.0,1484210,INSP1046
1123,1391.0,2,3,1,29.0,Yes,Downtown,Excellent,12.61,Yes,1069.0,2238213,INSP1157
1124,2864.0,4,1,1,,Yes,Riverside,Good,16.95,No,3056.0,2139125,INSP1193
1125,1363.0,2,4,3,20.0,Yes,Hillview,Poor,18.97,Yes,2473.0,1320545,INSP1278
1126,,5,4,3,18.0,Yes,Suburb,Good,20.24,Yes,1045.0,3008295,INSP1268
1127,979.0,2,4,3,18.0,Yes,Suburb,Good,25.25,No,3322.0,1396348,INSP1198
1128,,3,4,3,24.0,No,Suburb,Excellent,7.25,Yes,4960.0,2342875,INSP1223
1129,,3,1,2,21.0,Yes,Downtown,Fair,4.49,Yes,5142.0,2331914,INSP1262
1130,1780.0,3,3,3,30.0,Yes,Hillview,Excellent,25.69,Yes,770.0,2029554,INSP1165
1131,2662.0,3,3,1,16.0,Yes,Suburb,Good,5.54,No,1238.0,2441171,INSP1179
1132,4484.0,4,3,2,22.0,Yes,Suburb,Poor,29.27,Yes,,2171757,INSP1191
1133,,5,3,3,31.0,No,Riverside,Excellent,25.43,No,558.0,2365258,INSP1215
1134,3168.0,2,2,1,9.0,Yes,Suburb,Good,15.53,Yes,5870.0,1894281,INSP1283
