,transform_num__Area,transform_num__Age,transform__Garage_Yes,transform_cat__Neighborhood_Hillview,transform_cat__Neighborhood_Riverside,transform_cat__Neighborhood_Suburb,transform_cat__Condition_Fair,transform_cat__Condition_Good,transform_cat__Condition_Poor,transform_cat__HasGarden_Yes,remainder__DistanceToCity,remainder__Rooms,SalePrice
0,3774.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.65,4.0,1354036
1,4107.0,27.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.25,7.0,2595751
2,1460.0,46.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.52,8.0,2359875
3,1894.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.97,2.0,1376117
4,4325.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.9,9.0,5243088
5,1695.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.06,6.0,1985864
6,4372.0,44.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.48,6.0,2253394
7,3692.0,34.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.25,6.0,2454117
8,2238.0,47.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.52,8.0,2249251
9,2769.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.49,9.0,3424421
10,1066.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.14,8.0,3177663
11,1838.0,44.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,26.4,6.0,1657883
12,930.0,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.71,4.0,1035123
13,2082.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.88,5.0,2229879
14,2735.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.86,3.0,1483754
15,4044.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.13,8.0,2967861
16,3771.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,19.13,3.0,1629064
17,3519.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.44,2.0,1492634
18,4335.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.81,7.0,3064927
19,730.0,37.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.67,9.0,2240697
