EmployeeID,Age,Gender,Department,JobLevel,YearsAtCompany,MonthlyIncome,Overtime,WorkLifeBalance,DistanceFromHome,NumCompaniesWorked,TrainingHours,PerformanceRating,SatisfactionScore,Attrition,BadgeNumber
10001,59,Female,Marketing,3,2,56742.0,No,Good,41,4,78.0,High,2,No,322779
10002,49,Female,Marketing,3,11,68908.0,No,Excellent,9,3,,High,1,No,826765
10003,35,Male,Finance,1,1,15867.0,No,Good,7,0,30.0,Average,7,No,880169
10004,28,Female,Sales,1,13,33731.0,Yes,Good,41,8,79.0,High,2,No,695795
10005,41,Female,Sales,4,15,94723.0,No,Excellent,1,9,75.0,Average,4,No,423455
10006,59,Female,Sales,3,18,76377.0,No,Good,2,3,21.0,Average,4,No,965925
10007,39,Male,Sales,1,33,57856.0,Yes,Fair,4,2,11.0,High,10,No,826864
10008,43,Male,HR,3,5,62965.0,No,Fair,14,5,60.0,Average,1,No,842149
10009,31,Male,Marketing,3,12,72400.0,Yes,Good,32,0,68.0,Average,2,No,846837
10010,31,Male,IT,2,21,,Yes,Good,36,4,24.0,Average,1,No,287729
10011,44,Female,Sales,5,17,107554.0,Yes,Good,2,6,42.0,Average,6,No,828543
10012,56,Male,HR,3,11,68335.0,Yes,Good,40,1,79.0,High,3,Yes,518715
10013,44,Male,Sales,2,29,61236.0,Yes,Good,14,9,62.0,Average,1,No,393929
10014,23,Female,Sales,4,6,77938.0,No,Excellent,20,8,20.0,Average,8,No,444137
10015,42,Female,Sales,4,31,94370.0,No,Good,25,5,55.0,Average,4,No,960968
10016,22,Female,Sales,1,18,29545.0,No,Fair,42,1,31.0,High,10,No,807390
10017,44,Male,Finance,1,5,13042.0,Yes,Excellent,8,7,55.0,Average,7,No,268981
10018,50,Male,Marketing,1,19,47084.0,Yes,Fair,28,7,79.0,Average,10,No,356219
10019,58,Male,HR,3,26,85283.0,No,Good,21,0,20.0,Average,2,No,921326
10020,22,Female,IT,3,6,53627.0,No,Excellent,23,0,64.0,Average,6,No,227210
10021,41,Female,Finance,3,4,61746.0,Yes,Good,32,0,44.0,Average,6,No,708412
10022,53,Male,Sales,4,10,89931.0,No,Good,8,3,71.0,Low,7,No,958438
10023,32,Female,Sales,3,14,73850.0,No,Good,31,3,6.0,Average,1,No,639761
10024,42,Female,Marketing,1,2,19267.0,No,Good,37,7,52.0,Average,1,No,181697
10025,45,Female,Sales,2,4,42194.0,No,Good,16,0,56.0,Average,2,No,120063
10026,47,Male,IT,2,22,67808.0,Yes,Good,40,9,28.0,Average,2,No,882977
10027,48,Female,IT,2,8,42784.0,No,Good,42,2,6.0,Average,5,No,615993
10028,36,Female,HR,3,14,70979.0,Yes,Good,27,0,69.0,Average,1,No,178444
10029,35,Male,HR,4,2,72856.0,No,Fair,40,8,24.0,Average,2,No,636138
10030,23,Male,Finance,2,28,59919.0,Yes,Good,41,9,38.0,Average,6,No,887416
10031,57,Female,Sales,2,5,47499.0,No,Good,18,8,45.0,High,3,No,674738
10032,27,Female,Sales,3,16,85543.0,Yes,Good,35,6,45.0,Average,4,No,812060
10033,41,Male,Finance,2,25,60757.0,No,Good,15,7,79.0,Low,1,No,697011
10034,29,Male,IT,1,20,47776.0,No,Good,27,0,27.0,High,5,No,619840
10035,59,Female,Sales,2,7,39348.0,No,Good,17,4,42.0,Average,4,No,193392
10036,38,Female,Marketing,1,20,42796.0,No,Good,40,1,48.0,Low,8,No,120339
10037,24,Female,HR,4,10,93048.0,No,Excellent,2,0,71.0,High,3,No,733437
