,transfrom__WorkLifeBalance,transform_num__MonthlyIncome,Ordinal_Encoding__PerformanceRating,OneHot_Encoding__Department_HR,OneHot_Encoding__Department_IT,OneHot_Encoding__Department_Marketing,OneHot_Encoding__Department_Sales,OneHot_Encoding__Gender_Male,OneHot_Encoding__Overtime_Yes,remainder__Age,remainder__JobLevel,remainder__YearsAtCompany,remainder__DistanceFromHome,remainder__NumCompaniesWorked,remainder__SatisfactionScore,Attrition
0,2.0,56742.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,3.0,2.0,41.0,4.0,2.0,0
1,3.0,68908.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,3.0,11.0,9.0,3.0,1.0,0
2,2.0,15867.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,1.0,1.0,7.0,0.0,7.0,0
3,2.0,33731.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,1.0,13.0,41.0,8.0,2.0,0
4,3.0,94723.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,4.0,15.0,1.0,9.0,4.0,0
5,2.0,76377.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,3.0,18.0,2.0,3.0,4.0,0
6,1.0,57856.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,39.0,1.0,33.0,4.0,2.0,10.0,0
7,1.0,62965.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,3.0,5.0,14.0,5.0,1.0,0
8,2.0,72400.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,31.0,3.0,12.0,32.0,0.0,2.0,0
9,2.0,59626.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,2.0,21.0,36.0,4.0,1.0,0
10,2.0,107554.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,44.0,5.0,17.0,2.0,6.0,6.0,0
11,2.0,68335.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,56.0,3.0,11.0,40.0,1.0,3.0,1
12,2.0,61236.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,44.0,2.0,29.0,14.0,9.0,1.0,0
13,3.0,77938.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,4.0,6.0,20.0,8.0,8.0,0
14,2.0,94370.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,4.0,31.0,25.0,5.0,4.0,0
15,1.0,29545.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,18.0,42.0,1.0,10.0,0
16,3.0,13042.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,1.0,5.0,8.0,7.0,7.0,0
17,1.0,47084.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,1.0,19.0,28.0,7.0,10.0,0
18,2.0,85283.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,3.0,26.0,21.0,0.0,2.0,0
19,3.0,53627.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,3.0,6.0,23.0,0.0,6.0,0
20,2.0,61746.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,3.0,4.0,32.0,0.0,6.0,0
21,2.0,89931.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,53.0,4.0,10.0,8.0,3.0,7.0,0
22,2.0,73850.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,3.0,14.0,31.0,3.0,1.0,0
23,2.0,19267.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,1.0,2.0,37.0,7.0,1.0,0
24,2.0,42194.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,2.0,4.0,16.0,0.0,2.0,0
25,2.0,67808.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,47.0,2.0,22.0,40.0,9.0,2.0,0
26,2.0,42784.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,2.0,8.0,42.0,2.0,5.0,0
27,2.0,70979.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,3.0,14.0,27.0,0.0,1.0,0
28,1.0,72856.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,4.0,2.0,40.0,8.0,2.0,0
29,2.0,59919.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,2.0,28.0,41.0,9.0,6.0,0
30,2.0,47499.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,2.0,5.0,18.0,8.0,3.0,0
31,2.0,85543.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,27.0,3.0,16.0,35.0,6.0,4.0,0
32,2.0,60757.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,2.0,25.0,15.0,7.0,1.0,0
33,2.0,47776.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0,1.0,20.0,27.0,0.0,5.0,0
