MessageID,Message,Label,CharacterCount,WordCount,HasURL,HasNumber,UppercaseRatio
11970,Exclusive offer! Get a FREE gift today. Limited time only.,spam,58.0,10.0,0,0,0.15217391304347827
11726,I have attached the document we discussed. Thanks!,ham,50.0,8.0,0,0,0.04878048780487805
10527,Let me know when you arrive.,ham,28.0,6.0,0,0,0.045454545454545456
10994,Congratulations! You have won a free prize. Claim your reward now! Offer expires today,spam,86.0,14.0,0,0,0.05714285714285714
11124,You have been chosen for a FREE vacation. Claim now. Call 9876543210,spam,68.0,12.0,0,1,0.15555555555555556
11659,Let me know when you arrive.,ham,28.0,6.0,0,0,0.045454545454545456
10128,Please remember to buy milk on your way home.,ham,45.0,9.0,0,0,0.027777777777777776
10366,Please remember to buy milk on your way home. Thanks!,ham,53.0,10.0,0,0,0.047619047619047616
11305,Can you send me the notes from yesterday's meeting?,ham,51.0,9.0,0,0,0.024390243902439025
10233,Are you free this weekend? We could watch a movie. Let me know.,ham,63.0,13.0,0,0,0.0625
11384,WINNER! Your number has been selected for a fantastic cash prize.,spam,65.0,11.0,0,0,0.1320754716981132
11779,You have WON a guaranteed prize. Call now to receive your money. http://free-reward.example,spam,91.0,13.0,1,0,0.06944444444444445
11728,Let me know when you arrive.,ham,28.0,6.0,0,0,0.045454545454545456
11223,Are you free this weekend? We could watch a movie. Let me know.,ham,63.0,13.0,0,0,0.0625
10552,Are you free this weekend? We could watch a movie. Take care.,ham,61.0,12.0,0,0,0.06382978723404255
11767,Are you free this weekend? We could watch a movie. Thanks!,ham,58.0,11.0,0,0,0.06666666666666667
11102,"Hey, are we still meeting for lunch today? Thanks!",ham,50.0,9.0,0,0,0.05128205128205128
11106,Don't forget about the appointment tomorrow. Take care.,ham,55.0,8.0,0,0,0.044444444444444446
10792,"Hey, are we still meeting for lunch today? See you soon.",ham,56.0,11.0,0,0,0.046511627906976744
11058,I will reach home around 7 tonight. Thanks for letting me know.,ham,63.0,12.0,0,1,0.04081632653061224
10889,Congratulations winner! Claim your cash bonus before it expires. Visit http://claim-now.example,spam,95.0,11.0,1,0,0.038461538461538464
11422,Thanks for helping me with the project yesterday.,ham,49.0,8.0,0,0,0.024390243902439025
10065,Don't forget about the appointment tomorrow. Thanks for letting me know.,ham,72.0,11.0,0,0,0.03389830508474576
